cell_line,index
UACC62,0
KMS12BM,1
G402,2
MOLM16,3
NCIH2122,4
A2780,5
EFM19,6
OPM2,7
NCIH1792,8
OCUM1,9
NCIH2170,10
MCF7,11
LCLC103H,12
NCIH1048,13
EFM192A,14
A549,15
A2058,16
NCIH358,17
SKMEL30,18
IALM,19
MFE296,20
NCIH716,21
SNUC1,22
MKN1,23
NCIH23,24
CORL23,25
NCIN87,26
NCIH747,27
NCIH522,28
SKNAS,29
NCIH441,30
SKMEL2,31
8505C,32
LXF289,33
HEL,34
FUOV1,35
HDQP1,36
769P,37
MDST8,38
HCC1937,39
HT1080,40
IGR1,41
KARPAS422,42
SKCO1,43
SNU61,44
HGC27,45
AGS,46
NUGC3,47
HCC1187,48
NCIH1975,49
KYSE70,50
HCC1954,51
OE33,52
SNU1,53
K562,54
OVCAR8,55
NCIH1435,56
RCHACV,57
KMRC20,58
NCIH2030,59
NCIH1437,60
MOLM13,61
UMUC3,62
NCIH647,63
HDMYZ,64
NCIH2291,65
RKO,66
MDAMB453,67
SNUC5,68
KMS11,69
MDAMB468,70
NALM6,71
C32,72
WM115,73
SNU449,74
JM1,75
CORL88,76
HCC1143,77
TE10,78
CMK,79
CAL120,80
PATU8988T,81
OCIAML5,82
CFPAC1,83
NCIH2228,84
SNGM,85
NCIH1793,86
NCIH1650,87
NCIH146,88
SUDHL6,89
NCIH2052,90
HCC15,91
JHOS2,92
SKMEL3,93
CAL851,94
SKHEP1,95
RT4,96
NCIH2009,97
CAL33,98
IPC298,99
KMRC1,100
NCIH196,101
HCC70,102
SHP77,103
RL,104
RT112,105
NCIH2172,106
KYM1,107
MONOMAC6,108
NCIH661,109
SJSA1,110
QGP1,111
SH4,112
HCC1806,113
A101D,114
NCIH446,115
MSTO211H,116
MKN7,117
UACC257,118
TE6,119
HCC1500,120
MDAMB231,121
EBC1,122
IGR37,123
CAMA1,124
SW837,125
CCK81,126
PC3,127
SUIT2,128
COLO679,129
MELJUSO,130
RERFLCMS,131
HSC4,132
KYSE180,133
NCIH1944,134
LN229,135
SKES1,136
NCIH292,137
HCC2218,138
VMRCRCW,139
SKMEL28,140
SCC25,141
NCIH838,142
NCIH929,143
NCIH1155,144
HCC1395,145
THP1,146
OSRC2,147
OV90,148
RPMI7951,149
RD,150
DANG,151
COLO678,152
KYSE510,153
G401,154
SW1417,155
SNU423,156
TE1,157
TE11,158
MDAMB157,159
KYSE150,160
TCCSUP,161
JHH4,162
ABC1,163
HCC44,164
J82,165
SUDHL4,166
NCIH650,167
AU565,168
CORL105,169
SBC5,170
NCIH1568,171
HT1197,172
SW48,173
NCIH2110,174
SKMEL5,175
NCIH460,176
GAMG,177
T24,178
L428,179
SW948,180
HCT15,181
GB1,182
BT20,183
KU1919,184
OVCAR4,185
CAL51,186
TE4,187
BT549,188
8305C,189
RVH421,190
CL34,191
